,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
2572,4849a1d3746d9ad83bcd2a80e9e9eb1e04dc644a,2016-07-31 06:24:16+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2573,dcdb31cd9fb4347b9d797f647fccbbe71d89b8f7,2016-07-31 06:24:16+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2574,054a4167534cc3c6c71d33cba29572ac073ee4ad,2016-07-31 06:34:34+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2575,436fe5a447abb69e5e5a4f453325c422af02dcaa,2016-07-31 06:34:34+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2576,7f13c346c81ecd5d9246acbc6e81478fa0abb944,2016-07-31 06:34:34+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2577,82bcfa599679440e5b763974dcdacff949e9931b,2016-07-31 06:34:34+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2578,f92003c98d55df17ee655dbf7ccf4fae1e682734,2016-07-31 06:34:34+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2579,2be42389618c59450b4fdc37787cbbbed0390b8d,2016-07-31 06:39:06+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2580,17742f2d45c9dd7ca777e33601a26e80576fdbf6,2016-07-31 06:39:06+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2581,76a3ab90ae0c2e0c3117e1b83434470e88d39eef,2016-07-31 06:39:06+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2582,2f61407ef35bf9a4bdb00f94cceee94363a1abc8,2016-07-31 06:39:06+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2583,3686c44081a140c7acfff5f012e3972da02852f4,2016-07-31 06:39:06+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2584,635e404694f81cbb4c432b3f31f038cfdee2287b,2016-07-31 06:51:13+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
2585,ec4e638f730a81fb07f616b54167dacb2ea5d3c6,2016-07-31 06:51:13+00:00,CVE-2016-1000110,CWE-601,2019-11-27T17:15Z,MEDIUM,4.9
