,git_hash,commit_date,cve_data,cwe_group,published_date,severity,impact_score
74,254326cb3682389f55f886804d2c43f7b9f23e4f,2017-04-04 07:00:41-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
75,2a9f6ef71b8e23fd267ee2be1be26dde8ab67037,2017-04-04 07:17:35-07:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
76,f824655bc2c50b19d2f202d7640785caabc82787,2017-04-04 07:17:35-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
77,a1f948b468b6621083a03b0d53432341b7a4d753,2017-04-04 07:42:06-07:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
78,5ea48a70afac5e5684b504f09286e7defdd1a81a,2017-04-04 07:42:06-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
79,001ff508081a893d0cf81df1214dbd234606c360,2017-04-04 07:46:50-07:00,CVE-2017-7234,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
80,97e77b7bc14eafda704a01881cb2a3dc164947bc,2017-04-04 07:46:50-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
81,b749c980a066a15b58b236656e57b66073a35a52,2017-04-04 18:51:50-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
82,2d656d1fa1b66e3c86d27edc985e839aa921bc8f,2017-04-04 18:52:09-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
83,fd7105e130e55f67f6b0ba232a8c40f9af51a906,2017-04-04 18:52:17-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
84,2c3c029edeaa75e01373f3ec4a02fcc9184a2a76,2017-04-04 18:52:31-07:00,CVE-2017-7233,CWE-601,2017-04-04T17:59Z,MEDIUM,2.7
85,c75e5ad16b86df635f13f06b975c2691ace6013f,2017-04-28 11:00:10-07:00,SQL_INJECTION,,,,
86,a114c988b4c17e37508f1d0f96b93fd8b96d2df9,2017-05-02 10:11:50-07:00,SQL_INJECTION,,,,
87,c385994028e703fd589f266d55504d305b52a8a1,2017-05-07 12:07:59-07:00,SQL_INJECTION,,,,
88,3268b84f89a85e3dd1c64611e6c989076e0dc768,2017-06-12 14:12:07-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
89,de20057ccbd3b8c94d64ff5d8deb14cab232d08a,2017-06-12 14:52:56-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
90,de20057ccbd3b8c94d64ff5d8deb14cab232d08a,2017-06-12 14:52:56-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
91,c86d9e1026250c7fa0d69d20319854d9f6101b16,2017-06-12 15:53:16-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
92,c86d9e1026250c7fa0d69d20319854d9f6101b16,2017-06-12 15:53:16-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
93,b83972f9633e865c1f7ddbfd2d03919ca7c40ae3,2017-06-12 23:34:28-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
94,0d9311624754fbc3e0b8f4a28be576e48783bf81,2017-06-13 00:49:19-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
95,0d9311624754fbc3e0b8f4a28be576e48783bf81,2017-06-13 00:49:19-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
96,b64a46caed20acee92d9157dc9d3d939e24cbf4a,2017-06-13 02:05:54-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
97,b64a46caed20acee92d9157dc9d3d939e24cbf4a,2017-06-13 02:05:54-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
98,a4270596d7c8ce3b47fe164755181df7b22ac5de,2017-06-13 02:40:22-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
99,a4270596d7c8ce3b47fe164755181df7b22ac5de,2017-06-13 02:40:22-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
100,edc46ce3e44147d5fe1b3071ba1e020846b60b13,2017-06-13 03:01:25-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
101,ff6864b8a8944f75dff65fa469c93067389cad38,2017-06-13 03:19:32-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
102,c61ede30e80ad83e3d26e50ec27b5daa8d8f2ed8,2017-06-13 17:56:08-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
103,c61ede30e80ad83e3d26e50ec27b5daa8d8f2ed8,2017-06-13 17:56:08-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
104,7afa087734496ccdcbea8f1ba9f38d7fb5370e56,2017-06-15 01:46:51-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
105,17b9ec186ae7f247728cc5c499e61ccd7670b1de,2017-07-31 13:12:22-07:00,SQL_INJECTION,,,,
106,9770c57fab0315865a33c8b6df269eded0d57b5c,2017-08-08 07:50:54-07:00,SQL_INJECTION,,,,
107,4d016171baf58e22ef723da38cea3a19dbc85523,2017-08-08 10:46:41-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
108,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 05:37:40-07:00,CVE-2015-9097,CWE-93,2017-06-12T20:29Z,MEDIUM,2.7
109,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 05:37:40-07:00,CVE-2016-4658,CWE-119,2016-09-25T10:59Z,HIGH,5.9
110,5ac22227258790c69e06bcc64cbbdf489ee51c00,2017-08-28 05:37:40-07:00,CVE-2017-5029,CWE-787,2017-04-24T23:59Z,MEDIUM,5.9
111,46e2b9e059e617afe6fe56da9f132568a7e6b198,2017-09-05 07:58:38-07:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
112,e35a0c56086924f331e9422daa266e907a4784cc,2017-09-05 08:05:43-07:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
113,58e08e80e362db79eb0fd775dc81faad90dca47a,2017-09-05 08:19:56-07:00,CVE-2017-12794,CWE-79,2017-09-07T13:29Z,MEDIUM,2.7
114,83c5c3cda4464aee501af5111e356f6d194037fe,2017-09-21 13:03:42-07:00,SQL_INJECTION,,,,
115,f45f7ad62a952f90430f67b36c5edc8525f346c6,2017-09-21 13:32:51-07:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
116,92173ac55cd921a65ce137e238ed8bc4474aaccb,2017-09-21 14:44:31-07:00,CVE-2017-9050,CWE-125,2017-05-18T06:29Z,MEDIUM,3.6
